Sale_Price,Neighborhood,Gr_Liv_Area,Year_Built,Central_Air,Full_Bath,Half_Bath,Lot_Shape
97500,North_Ames,1458,1948,Y,1,0,Regular
144000,Old_Town,1056,1980,Y,0,0,Regular
162000,North_Ames,1287,1959,Y,1,0,Slightly_Irregular
242000,North_Ames,2978,1967,Y,2,1,Regular
132000,North_Ames,1224,1948,Y,1,0,Regular
154000,North_Ames,1246,1959,Y,1,1,Regular
166000,North_Ames,1385,1952,Y,2,0,Regular
134800,North_Ames,900,1951,Y,1,0,Regular
160000,North_Ames,1116,1962,Y,1,1,Slightly_Irregular
148000,North_Ames,1175,1960,Y,1,1,Slightly_Irregular
192000,North_Ames,1395,1963,Y,1,0,Regular
155000,North_Ames,1839,1966,Y,1,1,Regular
80400,Old_Town,1844,1900,Y,1,0,Regular
96500,Old_Town,1140,1910,Y,1,0,Regular
109500,Old_Town,936,1920,Y,1,0,Regular
115000,Old_Town,1028,1927,Y,1,0,Regular
143000,Old_Town,1347,1957,Y,1,0,Regular
107400,Old_Town,1605,1915,N,2,0,Regular
80000,Old_Town,747,1945,Y,1,0,Regular
119000,Old_Town,804,1940,Y,1,0,Regular
130000,Old_Town,1316,1929,Y,1,0,Regular
119000,Old_Town,1251,1938,Y,1,0,Regular
129000,Old_Town,1633,1948,Y,1,0,Regular
100000,Old_Town,1245,1920,Y,1,0,Regular
12789,Old_Town,832,1923,N,1,0,Regular
105900,Old_Town,720,1928,Y,1,0,Regular
150000,Old_Town,1566,1900,N,2,0,Regular
139000,Old_Town,1652,1915,Y,2,0,Regular
240000,Old_Town,2268,1890,Y,3,0,Regular
76500,Old_Town,2256,1910,N,2,0,Regular
149700,Old_Town,1236,1957,Y,1,0,Regular
125500,Old_Town,1363,1910,Y,1,0,Regular
122500,Old_Town,2290,1885,Y,2,0,Regular
140750,Old_Town,1470,1922,Y,1,1,Regular
109500,Old_Town,1068,1923,Y,1,0,Regular
140000,Old_Town,1710,1921,Y,2,0,Slightly_Irregular
149500,Old_Town,1962,1915,Y,1,1,Regular
159900,Old_Town,1560,1912,Y,1,1,Regular
122000,Old_Town,1324,1920,Y,1,0,Regular
140000,Old_Town,1812,1900,Y,2,0,Regular
124000,Edwards,1610,1938,Y,2,0,Regular
83000,Edwards,835,1920,N,1,0,Regular
144500,Edwards,1074,1950,Y,1,0,Regular
129000,Edwards,1144,1956,Y,1,0,Regular
127000,Edwards,1531,1947,Y,1,0,Regular
128000,Edwards,1172,1954,Y,1,0,Regular
186000,Edwards,1212,2009,Y,2,0,Regular
308030,Edwards,1508,2009,Y,1,0,Moderately_Irregular
114000,Edwards,1298,1964,Y,2,0,Slightly_Irregular
84900,Edwards,930,1946,Y,1,0,Regular
245350,College_Creek,1694,2008,Y,2,0,Slightly_Irregular
206000,College_Creek,1208,2006,Y,2,0,Regular
198900,College_Creek,1226,2009,Y,2,0,Slightly_Irregular
187000,College_Creek,1222,2010,Y,2,0,Regular
159000,College_Creek,965,1996,Y,1,0,Regular
191000,College_Creek,1692,1997,Y,2,1,Slightly_Irregular
200500,College_Creek,1682,1998,Y,2,1,Regular
150000,College_Creek,1026,1977,Y,1,1,Slightly_Irregular
161750,College_Creek,1392,1977,Y,1,1,Slightly_Irregular
128200,College_Creek,894,1976,Y,1,0,Regular
127000,College_Creek,876,1972,Y,1,0,Regular
318000,College_Creek,1978,2003,Y,2,1,Regular
272000,College_Creek,1601,2001,Y,2,0,Regular
237000,College_Creek,1829,2003,Y,2,1,Slightly_Irregular
240000,College_Creek,2098,1997,Y,2,1,Regular
224900,College_Creek,1661,1998,Y,2,0,Moderately_Irregular
143750,College_Creek,848,2003,Y,1,0,Regular
143000,College_Creek,848,2004,Y,1,0,Regular
232000,College_Creek,1668,2003,Y,2,0,Moderately_Irregular
213000,College_Creek,1484,2004,Y,2,0,Regular
185500,College_Creek,1414,2004,Y,2,0,Regular
84900,Edwards,640,1945,N,1,0,Regular
155891,Edwards,992,1954,Y,1,0,Regular
100000,Edwards,1664,1965,N,2,0,Regular
144000,Edwards,1196,1968,Y,1,0,Slightly_Irregular
64000,Edwards,1120,1948,N,1,0,Regular
125200,Edwards,1096,1975,Y,1,0,Regular
107000,Edwards,1117,1976,Y,1,0,Regular
90000,Edwards,960,1958,Y,1,0,Regular
140000,Edwards,1121,2003,Y,2,0,Regular
113000,Edwards,1487,1945,Y,1,1,Regular
80000,Edwards,924,1941,N,1,0,Regular
144500,Edwards,1526,1957,Y,1,0,Regular
58500,Edwards,864,1914,N,1,0,Regular
124500,North_Ames,882,1956,Y,1,0,Slightly_Irregular
157000,North_Ames,1434,1974,Y,2,0,Regular
345000,North_Ames,2704,1972,Y,2,1,Regular
136000,North_Ames,1792,1974,Y,2,2,Regular
148500,North_Ames,1002,1970,Y,1,0,Slightly_Irregular
156000,North_Ames,1026,1969,Y,1,0,Regular
128000,North_Ames,1180,1970,Y,1,1,Slightly_Irregular
143000,North_Ames,1050,1971,Y,1,1,Slightly_Irregular
76500,North_Ames,864,1970,Y,1,0,Regular
120500,North_Ames,864,1970,Y,1,0,Regular
124500,North_Ames,864,1970,Y,1,0,Regular
97000,North_Ames,864,1971,Y,1,0,Regular
130000,North_Ames,864,1971,Y,1,0,Regular
100000,North_Ames,892,1967,Y,1,0,Regular
148800,North_Ames,1120,1966,Y,1,0,Regular
130000,North_Ames,864,1967,Y,1,0,Regular
143000,North_Ames,1568,1967,Y,1,1,Regular
117500,North_Ames,925,1965,Y,1,0,Regular
141500,North_Ames,894,1960,Y,1,0,Regular
118000,North_Ames,864,1959,Y,1,0,Regular
127500,North_Ames,864,1959,Y,1,0,Regular
140000,North_Ames,1362,1957,Y,1,0,Slightly_Irregular
177625,North_Ames,1728,1956,Y,2,0,Slightly_Irregular
110000,North_Ames,1776,1958,Y,2,0,Regular
167000,North_Ames,1516,1964,Y,1,1,Regular
153000,North_Ames,1313,1961,Y,1,1,Regular
145100,North_Ames,1292,1964,Y,1,1,Slightly_Irregular
154000,North_Ames,1154,1966,Y,1,1,Slightly_Irregular
177500,North_Ames,2140,1965,Y,2,1,Slightly_Irregular
158000,North_Ames,1445,1964,Y,1,1,Slightly_Irregular
124500,North_Ames,1041,1959,Y,1,0,Regular
174500,North_Ames,1576,1961,Y,1,0,Regular
122000,North_Ames,960,1955,Y,1,0,Regular
149500,North_Ames,1505,1953,Y,1,0,Regular
175000,North_Ames,1691,1967,Y,1,0,Regular
167000,North_Ames,1644,1953,Y,1,0,Regular
128900,North_Ames,1050,1956,Y,1,0,Regular
140000,North_Ames,1668,1950,Y,1,1,Regular
147000,North_Ames,1113,1950,Y,1,0,Regular
124000,North_Ames,1584,1967,Y,2,0,Regular
187500,North_Ames,1453,1961,Y,2,0,Slightly_Irregular
159000,North_Ames,1394,1963,Y,1,1,Slightly_Irregular
256000,North_Ames,1567,1966,Y,2,0,Slightly_Irregular
205000,North_Ames,1986,1965,Y,2,1,Regular
193500,North_Ames,2142,1968,Y,2,1,Regular
110000,North_Ames,1392,1968,Y,1,0,Regular
104900,North_Ames,1738,1920,Y,2,0,Slightly_Irregular
150000,North_Ames,1144,1956,Y,1,0,Regular
156500,North_Ames,1478,1957,Y,1,1,Regular
176000,North_Ames,1329,1960,Y,1,1,Slightly_Irregular
149500,North_Ames,988,1959,Y,2,0,Slightly_Irregular
139000,North_Ames,1632,1958,Y,2,0,Regular
155000,North_Ames,1215,1958,Y,1,0,Slightly_Irregular
120000,North_Ames,1202,1956,Y,1,0,Regular
153000,North_Ames,1382,1955,Y,1,0,Regular
144000,North_Ames,1200,1956,Y,1,0,Regular
176000,North_Ames,1382,1962,Y,1,0,Regular
153000,North_Ames,1297,1954,Y,1,0,Regular
135000,North_Ames,1866,1958,Y,2,0,Regular
131000,North_Ames,1062,1954,Y,1,0,Slightly_Irregular
123000,North_Ames,1319,1953,Y,1,0,Regular
126000,North_Ames,1112,1951,Y,1,0,Regular
115000,North_Ames,1005,1955,Y,1,0,Regular
164900,North_Ames,1363,1951,Y,1,0,Regular
113000,North_Ames,793,1945,Y,1,0,Regular
145500,North_Ames,1031,1952,Y,1,0,Regular
102900,North_Ames,1210,1953,Y,1,1,Regular
95000,Old_Town,1699,1900,Y,2,0,Slightly_Irregular
152500,North_Ames,1527,1948,Y,1,1,Regular
129900,North_Ames,1200,1950,Y,1,0,Regular
132000,North_Ames,972,1948,Y,1,0,Regular
99900,Old_Town,792,1958,Y,1,0,Regular
135000,Old_Town,1656,1916,Y,2,1,Regular
149000,Old_Town,1352,1939,Y,2,0,Regular
114000,Old_Town,1039,1900,Y,1,0,Regular
109500,Old_Town,792,1924,Y,1,0,Regular
125000,Old_Town,1078,1925,Y,1,0,Regular
142900,Old_Town,2377,1915,Y,2,0,Regular
156500,Old_Town,1690,1910,Y,2,0,Regular
59000,Old_Town,599,1940,N,1,0,Regular
105000,Old_Town,1374,1920,Y,1,0,Regular
106000,Old_Town,846,1920,N,1,0,Regular
78500,Old_Town,725,1890,Y,1,1,Regular
190000,North_Ames,2544,1969,Y,2,2,Regular
154000,North_Ames,1380,1963,Y,1,1,Regular
163000,North_Ames,1040,1967,Y,1,0,Slightly_Irregular
200000,North_Ames,2634,1969,Y,2,2,Regular
143500,North_Ames,951,1958,Y,1,0,Regular
135000,North_Ames,1105,1957,Y,1,0,Slightly_Irregular
153000,North_Ames,1306,1957,Y,1,0,Slightly_Irregular
157500,North_Ames,1478,1960,Y,2,0,Slightly_Irregular
113500,North_Ames,1142,1958,Y,1,0,Slightly_Irregular
133000,North_Ames,1268,1949,Y,1,0,Regular
92900,North_Ames,1040,1950,N,2,0,Regular
128500,North_Ames,1133,1950,N,1,0,Regular
90000,North_Ames,1040,1949,N,2,0,Regular
138000,North_Ames,1904,1950,Y,1,1,Regular
128000,North_Ames,1041,1958,Y,1,0,Regular
139000,North_Ames,1339,1958,Y,1,0,Regular
118900,North_Ames,732,1952,Y,1,0,Regular
138000,North_Ames,1183,1959,Y,1,0,Regular
132500,North_Ames,1148,1959,Y,1,0,Regular
133500,North_Ames,1461,1949,Y,2,0,Regular
135000,North_Ames,1495,1948,Y,1,0,Regular
144750,North_Ames,1806,1964,Y,1,1,Regular
145000,North_Ames,941,1978,Y,1,0,Slightly_Irregular
127000,North_Ames,1045,1963,Y,1,0,Regular
109500,North_Ames,894,1962,N,1,0,Regular
115000,Old_Town,1224,1926,Y,1,0,Regular
110000,Old_Town,1230,1910,Y,1,1,Regular
128900,Old_Town,1378,1935,Y,1,0,Regular
103500,Old_Town,1944,1910,N,2,0,Regular
66500,Old_Town,1131,1941,Y,1,1,Regular
130000,Old_Town,1306,1910,Y,1,1,Regular
129000,Old_Town,1464,1910,Y,2,0,Regular
150000,Old_Town,1558,1939,Y,1,1,Regular
107500,Old_Town,2372,1892,N,2,0,Regular
94550,Old_Town,1701,1920,N,2,0,Regular
124500,Old_Town,1960,1952,Y,2,0,Regular
135000,Old_Town,1389,1946,Y,1,1,Regular
103000,Old_Town,1447,1910,N,1,0,Regular
93000,Old_Town,936,1953,N,1,0,Regular
129500,Old_Town,1328,1950,Y,1,1,Regular
93000,Old_Town,1387,1954,Y,2,0,Regular
80000,Old_Town,861,1920,Y,1,0,Regular
45000,Old_Town,612,1940,N,1,0,Regular
37900,Old_Town,968,1910,N,1,0,Regular
91300,Old_Town,886,1938,Y,1,0,Regular
99500,Old_Town,792,1923,Y,1,0,Regular
113000,Old_Town,1452,1920,Y,2,0,Regular
87500,Old_Town,1510,1910,Y,2,0,Regular
110000,Old_Town,1284,1947,Y,1,1,Regular
106000,Old_Town,2138,1898,N,2,0,Regular
265979,Old_Town,2640,1880,N,1,1,Slightly_Irregular
160000,Old_Town,2007,1900,Y,2,0,Regular
119000,Old_Town,1288,1917,Y,1,0,Regular
168000,Old_Town,1742,1882,Y,1,1,Regular
58500,Old_Town,816,1910,Y,1,0,Regular
143000,Old_Town,1482,1920,Y,1,0,Regular
85000,Old_Town,1022,1910,N,1,0,Regular
124900,Old_Town,1869,1890,Y,1,0,Regular
119000,Old_Town,1480,1920,Y,1,0,Regular
146500,Old_Town,1521,1910,Y,1,0,Regular
155000,Old_Town,1768,1915,Y,2,0,Regular
155000,Old_Town,1826,1915,Y,1,1,Regular
179900,Old_Town,1944,1915,Y,2,0,Regular
104000,Old_Town,2229,1912,Y,1,0,Regular
62500,Old_Town,2128,1922,N,2,0,Regular
123000,Old_Town,1427,1915,Y,1,0,Moderately_Irregular
97500,Old_Town,1864,1902,N,2,1,Irregular
179000,Edwards,1200,1987,Y,3,0,Regular
179000,Edwards,1200,1987,Y,3,0,Regular
159900,Edwards,1152,1978,Y,2,0,Slightly_Irregular
61000,Edwards,904,1922,N,0,1,Slightly_Irregular
103600,Edwards,1369,1925,N,2,0,Regular
63000,Edwards,1112,1934,N,2,0,Regular
135000,Edwards,1229,1956,Y,1,0,Regular
82500,Edwards,861,1940,Y,1,0,Slightly_Irregular
139600,Edwards,1733,1955,Y,2,0,Slightly_Irregular
122000,Edwards,1383,1954,Y,1,0,Slightly_Irregular
127500,Edwards,1689,1956,Y,1,0,Regular
121500,Edwards,1073,1956,Y,1,0,Regular
60000,Edwards,1276,1958,Y,1,0,Regular
154400,Edwards,1639,1946,Y,1,1,Regular
113000,Edwards,672,1941,Y,1,0,Regular
125000,Edwards,1089,1954,Y,1,0,Regular
84000,Edwards,845,1957,N,1,0,Slightly_Irregular
139500,Edwards,1049,1984,Y,2,0,Regular
131000,Edwards,1716,1949,Y,1,1,Regular
105000,Edwards,1258,1939,Y,1,0,Regular
108000,Edwards,1510,1940,Y,1,0,Regular
323262,College_Creek,1680,2009,Y,1,1,Regular
297000,College_Creek,1718,2007,Y,2,0,Regular
295493,College_Creek,1630,2008,Y,2,0,Slightly_Irregular
332000,College_Creek,1720,2008,Y,2,0,Slightly_Irregular
239900,College_Creek,1468,2008,Y,2,0,Regular
212000,College_Creek,1768,2007,Y,2,1,Slightly_Irregular
272500,College_Creek,1838,2007,Y,2,0,Slightly_Irregular
239000,College_Creek,1800,2007,Y,2,0,Slightly_Irregular
220000,College_Creek,1604,2006,Y,2,1,Regular
200000,College_Creek,1290,2007,Y,2,0,Regular
221800,College_Creek,1254,2008,Y,2,0,Slightly_Irregular
194500,College_Creek,1232,2007,Y,2,0,Regular
237000,College_Creek,1498,2005,Y,2,0,Regular
173000,College_Creek,1422,2005,Y,2,1,Slightly_Irregular
152000,College_Creek,1040,1996,Y,1,0,Moderately_Irregular
143000,College_Creek,990,1994,Y,1,0,Regular
231500,College_Creek,1764,1997,Y,2,1,Slightly_Irregular
212000,College_Creek,1661,1996,Y,2,1,Moderately_Irregular
207000,College_Creek,1463,1998,Y,2,0,Moderately_Irregular
145000,College_Creek,1097,1994,Y,1,1,Regular
138000,College_Creek,990,1994,Y,1,0,Regular
197900,College_Creek,1779,1998,Y,2,1,Regular
204000,College_Creek,1501,1999,Y,2,0,Slightly_Irregular
192000,College_Creek,1431,1999,Y,2,0,Slightly_Irregular
200000,College_Creek,1772,1998,Y,2,1,Regular
195000,College_Creek,1660,2002,Y,2,1,Slightly_Irregular
227000,College_Creek,1573,2002,Y,2,0,Slightly_Irregular
230000,College_Creek,1840,2001,Y,2,1,Regular
187100,College_Creek,1430,2001,Y,2,0,Moderately_Irregular
203000,College_Creek,1444,2002,Y,2,0,Slightly_Irregular
201000,College_Creek,1492,2001,Y,2,0,Regular
124000,College_Creek,1040,1978,Y,2,0,Regular
140000,College_Creek,907,1978,Y,1,0,Slightly_Irregular
134900,College_Creek,914,1979,Y,1,0,Slightly_Irregular
150500,College_Creek,1040,1977,Y,2,0,Slightly_Irregular
136500,College_Creek,864,1978,Y,1,0,Slightly_Irregular
143500,College_Creek,1268,1977,Y,1,1,Slightly_Irregular
133500,College_Creek,864,1972,Y,1,0,Slightly_Irregular
123000,College_Creek,894,1972,Y,1,0,Regular
133900,College_Creek,768,1972,Y,1,0,Regular
133000,College_Creek,768,1972,Y,1,0,Regular
250000,College_Creek,1611,2002,Y,2,0,Regular
254750,College_Creek,2184,2003,Y,2,1,Slightly_Irregular
236500,College_Creek,1788,2001,Y,2,0,Regular
261500,College_Creek,1872,2001,Y,2,1,Regular
313000,College_Creek,2153,2000,Y,2,1,Regular
198500,College_Creek,1725,2002,Y,2,1,Regular
211000,College_Creek,1870,2001,Y,2,1,Regular
220000,College_Creek,1513,1999,Y,2,0,Regular
203000,College_Creek,1504,1996,Y,2,0,Regular
279500,College_Creek,1828,2002,Y,2,0,Regular
210000,College_Creek,1417,1997,Y,2,0,Regular
219500,College_Creek,2034,1997,Y,2,1,Regular
191000,College_Creek,1716,1996,Y,2,1,Regular
178000,College_Creek,1212,2001,Y,2,0,Regular
213000,College_Creek,1630,2000,Y,2,0,Regular
144000,College_Creek,848,2003,Y,1,0,Regular
140000,College_Creek,848,2003,Y,1,0,Regular
293200,College_Creek,1602,2007,Y,2,0,Regular
190000,College_Creek,1728,2004,Y,2,1,Slightly_Irregular
190000,College_Creek,1500,2004,Y,2,0,Regular
173500,College_Creek,1476,2005,Y,2,1,Regular
170000,College_Creek,1396,2007,Y,2,1,Regular
108000,Edwards,1126,1949,Y,2,0,Regular
167000,Edwards,1486,1964,Y,1,0,Regular
100000,Edwards,816,1938,Y,1,0,Regular
198500,Edwards,1922,2003,Y,3,0,Regular
159500,Edwards,1426,1977,Y,1,1,Slightly_Irregular
127000,Edwards,1149,1960,Y,1,0,Regular
125000,Edwards,1125,1976,Y,1,0,Regular
320000,Edwards,1698,2007,Y,2,0,Slightly_Irregular
145500,Edwards,1072,2005,Y,1,0,Regular
118000,Edwards,698,1947,Y,1,0,Regular
85000,Edwards,876,1959,Y,1,0,Regular
120000,Edwards,1368,1950,Y,1,0,Regular
98000,Edwards,1529,1945,N,2,0,Regular
99900,Edwards,864,1922,Y,1,0,Regular
82000,Edwards,944,1952,N,1,0,Regular
119900,Edwards,1678,1959,Y,2,0,Regular
103500,Edwards,1560,1956,Y,1,0,Regular
112000,Edwards,960,1956,Y,1,0,Slightly_Irregular
110000,Edwards,1196,1920,Y,1,0,Regular
122000,Edwards,1298,1941,Y,1,0,Regular
117000,Edwards,1604,1941,Y,2,0,Regular
176500,North_Ames,1414,1958,Y,1,0,Slightly_Irregular
237500,North_Ames,2117,1970,Y,2,1,Slightly_Irregular
206900,North_Ames,2112,1969,Y,2,1,Regular
133000,North_Ames,1792,1974,Y,2,2,Regular
151000,North_Ames,1054,1969,Y,1,1,Regular
111900,North_Ames,936,1969,Y,1,0,Regular
123000,North_Ames,864,1971,Y,1,0,Regular
111250,North_Ames,864,1972,Y,1,0,Slightly_Irregular
181000,North_Ames,1337,1998,Y,2,0,Regular
110000,North_Ames,892,1966,Y,1,0,Regular
141000,North_Ames,1464,1968,Y,1,1,Regular
147000,North_Ames,912,1965,Y,1,0,Regular
135000,North_Ames,925,1965,Y,1,0,Regular
145000,North_Ames,1728,1965,Y,2,0,Slightly_Irregular
142600,North_Ames,1728,1965,Y,2,0,Slightly_Irregular
178400,North_Ames,999,1961,Y,1,0,Slightly_Irregular
98000,North_Ames,1014,1956,Y,1,0,Slightly_Irregular
109008,North_Ames,907,1957,Y,1,0,Slightly_Irregular
135750,North_Ames,952,1956,Y,1,0,Slightly_Irregular
155000,North_Ames,1128,1963,Y,2,0,Regular
180500,North_Ames,1425,1964,Y,2,0,Slightly_Irregular
174900,North_Ames,1165,1966,Y,1,1,Regular
140000,North_Ames,1136,1965,Y,1,0,Regular
145000,North_Ames,1092,1964,Y,1,0,Regular
179900,North_Ames,1265,1965,Y,2,0,Regular
168500,North_Ames,1350,1964,Y,1,1,Regular
140000,North_Ames,1114,1961,Y,1,0,Regular
145500,North_Ames,1053,1959,Y,1,1,Slightly_Irregular
142000,North_Ames,1252,1959,Y,1,0,Slightly_Irregular
141000,North_Ames,1100,1960,Y,1,0,Slightly_Irregular
153000,North_Ames,1118,1960,Y,1,0,Slightly_Irregular
141500,North_Ames,1496,1960,Y,2,0,Regular
119000,North_Ames,1252,1950,Y,1,0,Regular
141500,North_Ames,1337,1950,Y,1,0,Regular
165500,North_Ames,1661,1955,Y,1,0,Regular
112900,North_Ames,1036,1953,Y,1,0,Regular
201800,North_Ames,1820,1965,Y,1,2,Slightly_Irregular
163000,North_Ames,1362,1961,Y,1,1,Slightly_Irregular
139950,North_Ames,1144,1961,Y,1,0,Regular
174000,North_Ames,1537,1962,Y,1,1,Regular
165000,North_Ames,1431,1962,Y,1,0,Slightly_Irregular
227000,North_Ames,1988,1966,Y,2,1,Regular
135000,North_Ames,1098,1955,Y,1,0,Slightly_Irregular
124000,North_Ames,1144,1963,Y,1,1,Regular
140000,North_Ames,1283,1962,Y,1,0,Regular
136500,North_Ames,1176,1957,Y,1,0,Regular
185000,North_Ames,1440,1959,Y,2,0,Regular
163000,North_Ames,1261,1958,Y,1,0,Regular
166800,North_Ames,1570,1958,Y,1,0,Slightly_Irregular
139000,North_Ames,1196,1956,Y,1,0,Regular
166000,North_Ames,1392,1957,Y,1,1,Slightly_Irregular
136000,North_Ames,1080,1958,Y,1,0,Regular
133000,North_Ames,1104,1956,Y,1,0,Regular
116000,North_Ames,882,1952,Y,1,0,Regular
137500,North_Ames,1152,1953,Y,1,1,Slightly_Irregular
130000,North_Ames,950,1953,N,1,0,Regular
180000,North_Ames,1790,1957,Y,2,0,Regular
139000,North_Ames,952,1951,Y,1,0,Regular
110000,North_Ames,773,1953,Y,1,0,Regular
100000,North_Ames,1764,1957,Y,2,1,Regular
118500,North_Ames,1216,1947,Y,1,0,Regular
146000,North_Ames,1824,1957,Y,2,0,Regular
89900,Old_Town,869,1948,N,1,0,Regular
114000,Old_Town,1159,1925,Y,1,0,Regular
140000,North_Ames,1558,1945,Y,1,1,Regular
86900,Old_Town,672,1940,Y,1,0,Regular
139000,Old_Town,1436,1922,Y,1,0,Regular
106250,Old_Town,1294,1900,N,2,0,Regular
171000,North_Ames,1716,1962,Y,1,1,Slightly_Irregular
139000,North_Ames,1044,1968,Y,1,1,Slightly_Irregular
186000,North_Ames,1312,1958,Y,1,1,Slightly_Irregular
157000,North_Ames,1253,1960,Y,1,1,Slightly_Irregular
148000,North_Ames,1081,1960,Y,1,0,Slightly_Irregular
242000,North_Ames,2069,1960,Y,2,0,Moderately_Irregular
116000,North_Ames,910,1953,Y,1,0,Regular
94000,North_Ames,876,1951,Y,1,0,Regular
98300,North_Ames,1048,1950,Y,1,0,Regular
127000,North_Ames,1507,1960,Y,2,0,Regular
159000,North_Ames,1256,1959,Y,1,1,Regular
125900,North_Ames,1027,1962,Y,1,0,Regular
155000,North_Ames,1269,1960,Y,1,1,Regular
138000,North_Ames,1320,1948,Y,2,0,Regular
112500,North_Ames,984,1954,Y,1,0,Regular
105500,North_Ames,832,1954,Y,1,0,Regular
127500,North_Ames,1278,1954,Y,1,0,Regular
130000,North_Ames,1800,1961,N,2,0,Regular
150000,North_Ames,1588,1955,Y,1,1,Regular
109500,North_Ames,825,1954,Y,1,0,Regular
140000,North_Ames,1796,1963,Y,1,1,Regular
167900,North_Ames,1611,1964,Y,1,1,Regular
136870,North_Ames,1117,1963,Y,1,0,Regular
143000,Old_Town,1133,2008,N,1,0,Regular
73000,Old_Town,764,1925,N,1,0,Irregular
157500,Old_Town,1539,1904,Y,2,0,Regular
122600,Old_Town,1323,1948,Y,1,0,Regular
111000,Old_Town,1360,1910,N,1,0,Regular
256000,Old_Town,2792,1920,Y,2,0,Regular
64000,Old_Town,672,1940,Y,1,0,Regular
139500,Old_Town,1456,1915,Y,1,1,Regular
118000,Old_Town,1594,1910,Y,2,0,Regular
200000,Old_Town,2082,2003,Y,2,1,Regular
119164,Old_Town,1656,1940,Y,2,0,Regular
122250,Old_Town,1740,1920,N,1,0,Regular
120000,Old_Town,1027,1920,Y,1,0,Regular
155000,Old_Town,1436,1940,Y,2,0,Regular
78000,Old_Town,899,1910,N,1,0,Regular
95000,Old_Town,1080,1890,Y,1,0,Regular
115000,Old_Town,789,1948,Y,1,0,Regular
147000,Old_Town,1122,1948,Y,1,0,Regular
140000,Old_Town,1499,1946,Y,1,0,Regular
46500,Old_Town,407,1946,N,1,0,Regular
112500,Old_Town,928,1957,Y,1,0,Regular
107900,Old_Town,901,1954,Y,1,0,Regular
65000,Old_Town,1588,1949,Y,2,0,Regular
295000,Old_Town,3493,1880,Y,3,0,Regular
139500,Old_Town,1627,1900,N,2,0,Regular
153900,Old_Town,1416,1915,Y,1,1,Slightly_Irregular
132000,Old_Town,1450,1920,Y,1,0,Regular
98000,Old_Town,1344,1916,N,1,0,Regular
114000,Old_Town,1017,1900,Y,1,0,Regular
130000,Old_Town,2350,1920,Y,2,0,Regular
129500,Old_Town,2058,1917,N,1,1,Regular
129400,Old_Town,1540,1905,Y,1,1,Regular
161000,Old_Town,1378,1928,Y,2,0,Regular
163000,Old_Town,1912,1905,N,2,0,Regular
128000,Old_Town,1484,1914,Y,2,0,Regular
122000,Old_Town,2358,1872,N,2,0,Regular
116900,Old_Town,1111,1926,Y,1,0,Regular
